ukcode,jycode,inputcode,chabbr
1114830,6546,NYGF,002212,南洋股份
1114831,6535,TEJ,002213,特 尔 佳
1114832,6581,DLKJ,002214,大立科技
1114833,6557,NPX,002215,诺 普 信
1114834,6547,SQSP,002216,三全食品
1114835,6583,HLT,002217,合 力 泰
1114836,6584,TRXN,002218,拓日新能
1114837,6604,TBGF,002220,天宝股份
1114838,6619,HKYL,002219,恒康医疗
1114839,6603,DHNY,002221,东华能源
1114840,6598,FJKJ,002222,福晶科技
1114841,6709,YYYL,002223,鱼跃医疗
1114842,6618,SLS,002224,三 力 士
1114843,6710,PNGF,002225,濮耐股份
1114844,6582,JNHG,002226,江南化工
1114845,6731,ATX,002227,奥 特 迅
1114846,6730,HXBZ,002228,合兴包装
1114847,6788,HBGF,002229,鸿博股份
1114848,6781,QMXX,002232,启明信息
1114849,6735,KDXF,002230,科大讯飞
1114850,6782,AWTX,002231,奥维通信
1114851,6814,TPJT,002233,塔牌集团
1114852,6808,MHGF,002234,民和股份
1114853,6757,ANGF,002235,安妮股份
1114854,6816,DHGF,002236,大华股份
1114855,6736,HBGF,002237,恒邦股份
1114856,6834,ATJ,002239,奥 特 佳
1114857,6857,GEGF,002241,歌尔股份
1114858,6828,WHGF,002240,威华股份
1114859,6835,TWSX,002238,天威视讯
1114860,6855,JYGF,002242,九阳股份
1114861,6815,TCLX,002243,通产丽星
1114862,6732,BJJT,002244,滨江集团
1114863,6856,AYSC,002245,澳洋顺昌
1114864,6809,BHGF,002246,北化股份
1114865,6833,DLWH,002247,帝龙文化
1114866,6879,STDS,002248,*ST 东数
1114867,6787,DYDJ,002249,大洋电机
1114868,6943,LHKJ,002250,联化科技
1114869,6890,BBG,002251,步 步 高
1114870,6827,SHLS,002252,上海莱士
1114871,6807,CDZS,002253,川大智胜
1114872,6012,THXC,002254,泰和新材
1114873,6925,HLZG,002255,海陆重工
1114874,6907,ZXGF,002256,兆新股份
1114875,6942,LEHX,002258,利尔化学
1114876,6930,SDLY,002259,升达林业
1114877,6941,DATH,002260,德奥通航
1114878,6924,TWXX,002261,拓维信息
1114879,6933,EHYY,002262,恩华药业
1114880,6880,DDN,002263,大 东 南
1114881,6940,XHD,002264,新 华 都
1114882,6826,XYGF,002265,西仪股份
1114883,7078,ZFKG,002266,浙富控股
1114884,7054,WST,002268,卫 士 通
1114885,7034,STRQ,002267,陕天然气
1114886,7072,MBFS,002269,美邦服饰
1114887,7073,HMZB,002270,华明装备
1114888,7055,DFYH,002271,东方雨虹
1114889,7076,CRGF,002272,川润股份
1114890,7094,SJGD,002273,水晶光电
1114891,6889,HCHG,002274,华昌化工
1114892,7079,GLSJ,002275,桂林三金
1114893,7116,WMGF,002276,万马股份
1114894,7144,YAGF,002277,友阿股份
1114895,7174,SKGF,002278,神开股份
1114896,4602,JQRJ,002279,久其软件
1114897,7197,LLHD,002280,联络互动
1114898,7212,GXKJ,002281,光迅科技
1114899,7118,BSGJ,002282,博深工具
1114900,7120,TRQZ,002283,天润曲轴
1114901,7119,YTGF,002284,亚太股份
1114902,7211,SLH,002285,世 联 行
1114903,7231,BLB,002286,保 龄 宝
1114904,7230,QZZY,002287,奇正藏药
1114905,7242,CHKJ,002288,超华科技
1114906,7243,YSDZ,002289,宇顺电子
1114907,7249,ZKXC,002290,中科新材
1114908,7301,XQL,002291,星 期 六
1114909,7309,AFYL,002292,奥飞娱乐
1114910,7325,LLSH,002293,罗莱生活
1114911,7328,XLT,002294,信 立 泰
1114912,7268,JYGF,002295,精艺股份
1114913,7267,HHKJ,002296,辉煌科技
1114914,7359,BYXC,002297,博云新材
1114915,8969,ZDXL,002298,中电鑫龙
1114916,8991,SNFZ,002299,圣农发展
1114917,7302,TYDL,002300,太阳电缆
1114918,8994,QXJT,002301,齐心集团
1114919,9308,TRD,300001,特 锐 德
1114920,7386,SZTY,300002,神州泰岳
1114921,9313,LPYL,300003,乐普医疗
1114922,9311,NFGF,300004,南风股份
1114923,9323,TLZ,300005,探 路 者
1114924,9314,LMYY,300006,莱美药业
1114925,9319,HWDZ,300007,汉威电子
1114926,9312,THFW,300008,天海防务
1114927,9321,AKSW,300009,安科生物
1114928,9307,LSC,300010,立 思 辰
1114929,9322,DHJS,300011,鼎汉技术
1114930,9349,HCJC,300012,华测检测
1114931,9324,XNWL,300013,新宁物流
1114932,9320,YWLN,300014,亿纬锂能
1114933,9358,AEYK,300015,爱尔眼科
1114934,4575,BLYY,300016,北陆药业
1114935,9357,WSKJ,300017,网宿科技
1114936,9351,ZYGF,300018,中元股份
1114937,9359,GBKJ,300019,硅宝科技
1114938,9360,YJGF,300020,银江股份
1114939,9364,DYJS,300021,大禹节水
1114940,9362,JFNJ,300022,吉峰农机
1114941,9347,BDGF,300023,宝德股份
1114942,9363,JQR,300024,机 器 人
1114943,9389,HXCY,300025,华星创业
1114944,9388,HRYY,300026,红日药业
1114945,9387,HYXD,300027,华谊兄弟
1114946,9361,JYKJ,300028,金亚科技
1114947,9037,XBJS,002302,西部建设
1114948,9082,MYS,002303,美 盈 森
1114949,9033,YHGF,002304,洋河股份
1114950,9081,NGZY,002305,南国置业
1114951,9034,STYW,002306,*ST 云网
1114952,9039,BXLQ,002307,北新路桥
1114953,9093,WCGF,002308,威创股份
1114954,9142,ZLJT,002309,中利集团
1114955,9112,DFYL,002310,东方园林
1114956,9159,HDJT,002311,海大集团
1114957,9173,STST,002312,*ST 三泰
1114958,9185,RHTX,002313,日海通讯
1114959,9216,NSKG,002314,南山控股
1114960,9080,JDKJ,002315,焦点科技
1114961,9225,JQTX,002316,键桥通讯
1114962,9272,ZSYY,002317,众生药业
1114963,9258,JLTC,002318,久立特材
1114964,9273,LTGF,002319,乐通股份
1114965,9366,HXGF,002320,海峡股份
1114966,9297,HYNY,002321,华英农业
1114967,9394,LGHK,002322,理工环科
1114968,9399,YBT,002323,雅 百 特
1114969,9393,PLT,002324,普 利 特
1114970,9309,HTGF,002325,洪涛股份
1114971,9400,YTKJ,002326,永太科技
1114972,9688,TLGD,300029,天龙光电
1114973,9703,YPYL,300030,阳普医疗
1114974,9571,BTKJ,300031,宝通科技
1114975,9635,JLJD,300032,金龙机电
1114976,9365,THS,300033,同 花 顺
1114977,9634,GYGN,300034,钢研高纳
1114978,9700,ZKDQ,300035,中科电气
1114979,9702,CTRJ,300036,超图软件
1114980,9259,FAN,002327,富 安 娜
1114981,9345,XPGF,002328,新朋股份
1114982,9426,HSJT,002329,皇氏集团
1114983,9425,DLS,002330,得 利 斯
1114984,9310,WTKJ,002331,皖通科技
1114985,9783,XZB,300037,新 宙 邦
1114986,9781,MTN,300038,梅 泰 诺
1114987,9863,SHKB,300039,上海凯宝
1114988,9852,JZDQ,300040,九洲电气
1114989,9780,HTXC,300041,回天新材
1114990,9888,LKKJ,300042,朗科科技
1114991,9459,XJZY,002332,仙琚制药
1114992,9458,LPSJ,002333,罗普斯金
1114993,9487,YWT,002334,英 威 腾
1114994,9499,KHHS,002335,科华恒盛
1114995,9488,RRL,002336,人 人 乐
1114996,9497,SXKJ,002337,赛象科技
1114997,9504,APGD,002338,奥普光电
1114998,9929,XHYL,300043,星辉娱乐
1114999,9927,SWZN,300044,赛为智能
1115000,9889,HLCT,300045,华力创通
1115001,9928,TJGF,300046,台基股份
1115002,9891,TYDK,300047,天源迪科
1115003,9897,HKXN,300048,合康新能
1115004,9890,FRGF,300049,福瑞股份
1115005,9926,SJDL,300050,世纪鼎利
1115006,9540,JCDZ,002339,积成电子
1115007,9534,GLM,002340,格 林 美
1115008,9541,XLKJ,002341,新纶科技
1115009,9574,JLSJ,002342,巨力索具
1115010,9586,CWCM,002343,慈文传媒
1115011,9549,HNPC,002344,海宁皮城
1115012,9587,CHJ,002345,潮 宏 基
1115013,9593,ZZGF,002346,柘中股份
1115014,9594,TEGF,002347,泰尔股份
1115015,9626,GLGF,002348,高乐股份
1115016,9637,JHZY,002349,精华制药
1115017,9075,BJKR,002350,北京科锐
1115018,9642,MBZ,002351,漫 步 者
1115019,9643,SFKG,002352,顺丰控股
1115020,9680,JRGF,002353,杰瑞股份
1115021,9691,TSYL,002354,天神娱乐
1115022,9679,XMZT,002355,兴民智通
1115023,9226,HMJT,002356,赫美集团
1115024,9784,FLYY,002357,富临运业
1115025,9771,SYDQ,002358,森源电气
1115026,9705,QXTT,002359,齐星铁塔
1115027,9982,SWHL,300051,三五互联
1115028,9998,ZQB,300052,中 青 宝
1115029,10036,OBT,300053,欧 比 特
1115030,9999,DLGF,300054,鼎龙股份
1115031,10038,WBD,300055,万 邦 达
1115032,10039,SWS,300056,三 维 丝
1115033,10037,WSGF,300057,万顺股份
1115034,10040,LSGB,300058,蓝色光标
1115035,9856,TDHG,002360,同德化工
1115036,9867,SJGF,002361,神剑股份
1115037,7121,HWKJ,002362,汉王科技
1115038,9937,LJJX,002363,隆基机械
1115039,9857,ZHDQ,002364,中恒电气
1115040,9036,YAYY,002365,永安药业
1115041,9865,THHD,002366,台海核电
1115042,9864,KLDT,002367,康力电梯
1115043,9882,TJGF,002368,太极股份
1115044,9844,ZYKJ,002369,卓翼科技
1115045,9795,YTYY,002370,亚太药业
1115046,9892,BFHC,002371,北方华创
1115047,9901,WXXC,002372,伟星新材
1115048,9898,QFKJ,002373,千方科技
1115049,9883,LPGF,002374,丽鹏股份
1115050,10296,DFCF,300059,东方财富
1115051,10337,KNT,300061,康 耐 特
1115052,10349,ZNDQ,300062,中能电气
1115053,9796,YSGF,002375,亚厦股份
1115054,9916,XBY,002376,新 北 洋
1115055,9997,GCGX,002377,国创高新
1115056,10395,TLJT,300063,天龙集团
1115057,10397,YJGS,300064,豫金刚石
1115058,10396,HLX,300065,海 兰 信
1115059,10351,SCZH,300066,三川智慧
1115060,9925,ZYWY,002378,章源钨业
1115061,9939,HCKG,002379,宏创控股
1115062,9899,KYGF,002380,科远股份
1115063,9627,SJGF,002381,双箭股份
1115064,9971,LFYL,002382,蓝帆医疗
1115065,9936,HZSZ,002383,合众思壮
1115066,9995,DSJM,002384,东山精密
1115067,9994,DBN,002385,大 北 农
1115068,9996,TYJT,002386,天原集团
1115069,10071,HNSP,002387,黑牛食品
1115070,10034,XYZC,002388,新亚制程
1115071,10073,NYKJ,002389,南洋科技
1115072,10094,XBZY,002390,信邦制药
1115073,10098,CQGF,002391,长青股份
1115074,10538,ANQ,300067,安 诺 其
1115075,10398,NDDY,300068,南都电源
1115076,10537,JLHD,300069,金利华电
1115077,10496,BSY,300070,碧 水 源
1115078,9356,HYJX,300071,华谊嘉信
1115079,9983,BJLE,002392,北京利尔
1115080,10018,LSZY,002393,力生制药
1115081,10017,LFGF,002394,联发股份
1115082,10535,SJHB,300072,三聚环保
1115083,10495,DSKJ,300073,当升科技
1115084,10603,HPGF,300074,华平股份
1115085,10591,SZZT,300075,数字政通
1115086,10072,SXGF,002395,双象股份
1115087,9917,MJGF,002397,梦洁股份
1115088,10534,GQYSX,300076,GQY视讯
1115089,10650,GMJS,300077,国民技术
1115090,10602,SCYH,300078,思创医惠
1115091,10604,SMSX,300079,数码视讯
1115092,10093,JYJT,002398,建研集团
1115093,10104,HPR,002399,海 普 瑞
1115094,10277,SGGF,002400,省广股份
1115095,10275,ZYHK,002401,中远海科
1115096,10300,HET,002402,和 而 泰
1115097,10299,ASD,002403,爱 仕 达
1115098,10291,JXSC,002404,嘉欣丝绸
1115099,10298,SWTX,002405,四维图新
1115100,10292,YDCD,002406,远东传动
1115101,10069,DFD,002407,多 氟 多
1115102,10106,QXTD,002408,齐翔腾达
1115103,10734,HXDF,300081,恒信东方
1115104,10651,AKGF,300082,奥克股份
1115105,10605,JSJM,300083,劲胜精密
1115106,10692,HMKJ,300084,海默科技
1115107,10301,YKKJ,002409,雅克科技
1115108,10105,GLD,002410,广 联 达
1115109,10326,BKGF,002411,必康股份
1115110,10324,HSZY,002412,汉森制药
1115111,10817,YZJ,300085,银 之 杰
1115112,10700,KZYY,300086,康芝药业
1115113,10350,QYGK,300087,荃银高科
1115114,10779,CXKJ,300088,长信科技
1115115,10347,LKFW,002413,雷科防务
1115116,10345,HKWS,002415,海康威视
1115117,10344,ASD,002416,爱 施 德
1115118,10376,SYD,002417,三 元 达
1115119,10399,KSGF,002418,康盛股份
1115120,7403,THGF,002419,天虹股份
1115121,10400,YCGF,002420,毅昌股份
1115122,9972,DSZN,002421,达实智能
1115123,10419,KLYY,002422,科伦药业
1115124,10458,ZYTG,002423,中原特钢
1115125,10461,GZBL,002424,贵州百灵
1115126,10377,KSWH,002425,凯撒文化
1115127,10476,SLJM,002426,胜利精密
1115128,10478,YFGF,002427,尤夫股份
1115129,10459,YNZY,002428,云南锗业
1115130,10523,ZCGF,002429,兆驰股份
1115131,10492,HYGF,002430,杭氧股份
1115132,10483,ZLGF,002431,棕榈股份
1115133,10522,JAYL,002432,九安医疗
1115134,10375,TAT,002433,太 安 堂
1115135,10532,WLY,002434,万 里 扬
1115136,10550,CJRF,002435,长江润发
1115137,10533,XSKJ,002436,兴森科技
1115138,7095,XWRJ,002396,星网锐捷
1115139,10579,YHYY,002437,誉衡药业
1115140,7397,JSST,002438,江苏神通
1115141,10629,QMXC,002439,启明星辰
1115142,10590,YCXN,300080,易成新能
1115143,10880,WHCC,300089,文化长城
1115144,10780,SYHB,300090,盛运环保
1115145,10733,JTL,300091,金 通 灵
1115146,10551,RTGF,002440,闰土股份
1115147,10654,ZYD,002441,众 业 达
1115148,10460,LXHG,002442,龙星化工
1115149,10580,JZGD,002443,金洲管道
1115150,11043,KXJD,300092,科新机电
1115151,10864,JGBL,300093,金刚玻璃
1115152,10879,GLSC,300094,国联水产
1115153,10693,JXKJ,002444,巨星科技
1115154,10697,ZNWH,002445,中南文化
1115155,7394,SLTX,002446,盛路通信
1115156,10493,YQGF,002447,壹桥股份
1115157,10346,GDHW,002414,高德红外
1115158,7395,ZYNP,002448,中原内配
1115159,10704,GXGD,002449,国星光电
1115160,10736,KDX,002450,康 得 新
1115161,10772,MEDQ,002451,摩恩电气
1115162,10810,CGJT,002452,长高集团
1115163,10814,TMJH,002453,天马精化
1115164,10813,SZGF,002454,松芝股份
1115165,11001,HWGF,300095,华伍股份
1115166,10781,YLZ,300096,易 联 众
1115167,10835,ZYGF,300097,智云股份
1115168,10348,GXX,300098,高 新 兴
1115169,9785,BCGF,002455,百川股份
1115170,10484,OFG,002456,欧 菲 光
1115171,10782,QLGY,002457,青龙管业
1115172,10863,JZXX,300099,精准信息
1115173,11044,SLGF,300100,双林股份
1115174,10701,ZXKJ,300101,振芯科技
1115175,10766,YSGF,002458,益生股份
1115176,10494,TYTL,002459,天业通联
1115177,10815,GFLY,002460,赣锋锂业
1115178,11073,QZGD,300102,乾照光电
1115179,11072,DGLJ,300103,达刚路机
1115180,11136,LSW,300104,乐 视 网
1115181,7184,ZJPJ,002461,珠江啤酒
1115182,10861,JST,002462,嘉 事 堂
1115183,10860,HDGF,002463,沪电股份
1115184,10536,LYJS,300105,龙源技术
1115185,11215,XBMY,300106,西部牧业
1115186,11194,JXGF,300107,建新股份
1115187,11250,SLGF,300108,双龙股份
1115188,11239,XKY,300109,新 开 源
1115189,11137,HRYY,300110,华仁药业
1115190,11240,XRK,300111,向 日 葵
1115191,11220,WXZK,300112,万讯自控
1115192,11218,SWKJ,300113,顺网科技
1115193,11219,ZHDC,300114,中航电测
1115194,10868,JLKJ,002464,金利科技
1115195,11096,HGTX,002465,海格通信
1115196,10695,TQLY,002466,天齐锂业
1115197,11249,CYJM,300115,长盈精密
1115198,11238,JRWN,300116,坚瑞沃能
1115199,11242,JYGF,300117,嘉寓股份
1115200,11231,DFRS,300118,东方日升
1115201,7391,ELS,002467,二 六 三
1115202,11135,STKD,002468,申通快递
1115203,10652,SWGC,002469,三维工程
1115204,11170,JZD,002470,金 正 大
1115205,11247,ZCKG,002471,中超控股
1115206,11302,SHCD,002472,双环传动
1115207,11253,STSL,002473,*ST 圣莱
1115208,9296,RJRJ,002474,榕基软件
1115209,11308,LXJM,002475,立讯精密
1115210,11169,BMGF,002476,宝莫股份
1115211,11343,CYNM,002477,雏鹰农牧
1115212,11377,RPSW,300119,瑞普生物
1115213,11315,JWDC,300120,经纬电材
1115214,11376,YGHT,300121,阳谷华泰
1115215,11246,CBGF,002478,常宝股份
1115216,11342,FCHB,002479,富春环保
1115217,11352,XZGF,002480,新筑股份
1115218,11359,STSP,002481,双塔食品
1115219,11435,ZFSW,300122,智飞生物
1115220,11434,TYN,300123,太 阳 鸟
1115221,10882,HCJS,300124,汇川技术
1115222,11398,GTJT,002482,广田集团
1115223,11551,RBGF,002483,润邦股份
1115224,11104,JHGF,002484,江海股份
1115225,11392,YSD,300125,易 世 达
1115226,11109,RQGF,300126,锐奇股份
1115227,11502,YHCT,300127,银河磁体
1115228,11316,JFJS,300128,锦富技术
1115229,11397,XNE,002485,希 努 尔
1115230,11393,JLJ,002486,嘉 麟 杰
1115231,11472,DJZG,002487,大金重工
1115232,11230,TSFN,300129,泰胜风能
1115233,11572,XGD,300130,新 国 都
1115234,11614,YTZK,300131,英唐智控
1115235,11443,JGGF,002488,金固股份
1115236,8995,ZJYQ,002489,浙江永强
1115237,7400,STML,002490,*ST 墨龙
1115238,11524,TDHL,002491,通鼎互联
1115239,11625,QSGF,300132,青松股份
1115240,11229,HCYS,300133,华策影视
1115241,11571,DFKJ,300134,大富科技
1115242,11573,BLGJ,300135,宝利国际
1115243,10694,HJDX,002492,恒基达鑫
1115244,11523,RSSH,002493,荣盛石化
1115245,11606,HSGF,002494,华斯股份
1115246,11478,JLGF,002495,佳隆股份
1115247,11672,XWTX,300136,信维通信
1115248,11624,XHHB,300137,先河环保
1115249,11671,CGSW,300138,晨光生物
1115250,11071,HFGF,002496,辉丰股份
1115251,11577,YHJT,002497,雅化集团
1115252,11623,HLGF,002498,汉缆股份
1115253,11708,KLHB,002499,科林环保
1115254,9572,XCKJ,300139,晓程科技
1115255,11758,ZHZB,300140,中环装备
1115256,11757,HSDQ,300141,和顺电气
1115257,11697,WSSW,300142,沃森生物
1115258,11399,SXZQ,002500,山西证券
1115259,11709,LYJZ,002501,利源精制
1115260,11751,HWWH,002502,骅威文化
1115261,11811,SYT,002503,搜 于 特
1115262,11777,STHG,002504,*ST 弘高
1115263,11776,DKNY,002505,大康农业
1115264,8970,XXJC,002506,协鑫集成
1115265,11838,FLZC,002507,涪陵榨菜
1115266,11780,LBDQ,002508,老板电器
1115267,11810,TGZM,002509,天广中茂
1115268,11775,TQM,002510,天 汽 模
1115269,11774,ZSJR,002511,中顺洁柔
1115270,11895,DHZN,002512,达华智能
1115271,11839,LFSH,002513,蓝丰生化
1115272,11837,BXKJ,002514,宝馨科技
1115273,11883,JZHT,002515,金字火腿
1115274,11908,KDKJ,002516,旷达科技
1115275,11909,KYWL,002517,恺英网络
1115276,11516,KSD,002518,科 士 达
1115277,11940,YHDZ,002519,银河电子
1115278,11821,XHSW,300143,星河生物
1115279,11820,SCYY,300144,宋城演艺
1115280,11892,ZJHJ,300145,中金环境
1115281,11894,RFJJ,002520,日发精机
1115282,11428,QFXC,002521,齐峰新材
1115283,11957,ZJZC,002522,浙江众成
1115284,9174,TQQZ,002523,天桥起重
1115285,11964,TCBJ,300146,汤臣倍健
1115286,12036,XXZY,300147,香雪制药
1115287,11893,TZWH,300148,天舟文化
1115288,12021,GZJT,002524,光正集团
1115289,12045,SDKJ,002526,山东矿机
1115290,11965,LZGK,300149,量子高科
1115291,4031,SJRE,300150,世纪瑞尔
1115292,12014,CHKJ,300151,昌红科技
1115293,11254,XSD,002527,新 时 达
1115294,12022,YFT,002528,英 飞 拓
1115295,10783,HYJX,002529,海源机械
1115296,10933,KRHJ,300152,科融环境
1115297,12037,KTDY,300153,科泰电源
1115298,11782,RLGF,300154,瑞凌股份
1115299,11255,JCHL,002530,金财互联
1115300,12064,TSFN,002531,天顺风能
1115301,12046,XJBY,002532,新界泵业
1115302,12174,JBDG,002533,金杯电工
1115303,12013,AJB,300155,安 居 宝
1115304,11248,SWHB,300156,神雾环保
1115305,11949,HTAP,300157,恒泰艾普
1115306,11907,ZDZY,300158,振东制药
1115307,12127,XYGF,300159,新研股份
1115308,12062,HGGF,002534,杭锅股份
1115309,12182,HLMD,002537,海立美达
1115310,12130,LZZJ,002535,林州重机
1115311,12143,XBGF,002536,西泵股份
1115312,12142,XQGF,300160,秀强股份
1115313,12077,HZSK,300161,华中数控
1115314,12076,LMGF,300162,雷曼股份
1115315,12141,XFXC,300163,先锋新材
1115316,12140,TYSY,300164,通源石油
1115317,9575,SET,002538,司 尔 特
1115318,12172,YTKG,002539,云图控股
1115319,12086,YTKJ,002540,亚太科技
1115320,12241,HLGG,002541,鸿路钢构
1115321,12128,TRYQ,300165,天瑞仪器
1115322,12180,DFGX,300166,东方国信
1115323,12181,DWSX,300167,迪威视讯
1115324,11906,WDXX,300168,万达信息
1115325,12075,TSXC,300169,天晟新材
1115326,12263,ZHYT,002542,中化岩土
1115327,12292,WHDQ,002543,万和电气
1115328,12223,JSKJ,002544,杰赛科技
1115329,12177,HDXX,300170,汉得信息
1115330,12197,DFL,300171,东 富 龙
1115331,12196,ZDHB,300172,中电环保
1115332,11138,ZHSD,300173,智慧松德
1115333,12179,YLGF,300174,元力股份
1115334,12214,DFTT,002545,东方铁塔
1115335,12302,XLDZ,002546,新联电子
1115336,12199,LYGF,300175,朗源股份
1115337,12251,HTJM,300176,鸿特精密
1115338,12249,ZHD,300177,中 海 达
1115339,12250,TBGJ,300178,腾邦国际
1115340,10834,SFD,300179,四 方 达
1115341,12005,CXJG,002547,春兴精工
1115342,12361,JXN,002548,金 新 农
1115343,9772,KMTQ,002549,凯美特气
1115344,12222,QHZY,002550,千红制药
1115345,12200,HFCX,300180,华峰超纤
1115346,12264,ZLYY,300181,佐力药业
1115347,12306,JCGF,300182,捷成股份
1115348,12289,DRZB,300183,东软载波
1115349,12305,LYXX,300184,力源信息
1115350,12248,SRYL,002551,尚荣医疗
1115351,12294,BDKJ,002552,宝鼎科技
1115352,12403,NFZC,002553,南方轴承
1115353,11779,HBP,002554,惠 博 普
1115354,12360,SQHY,002555,三七互娱
1115355,12422,HLGF,002556,辉隆股份
1115356,12144,QQSP,002557,洽洽食品
1115357,12358,JRWL,002558,巨人网络
1115358,12374,YWGF,002559,亚威股份
1115359,12532,TDGF,002560,通达股份
1115360,9535,XJH,002561,徐 家 汇
1115361,12421,TYZG,300185,通裕重工
1115363,12419,YQHB,300187,永清环保
1115364,12624,XDKJ,002562,兄弟科技
1115365,12625,TWKJ,002564,天沃科技
1115366,12611,SMFS,002563,森马服饰
1115367,12407,MYBK,300188,美亚柏科
1115368,12584,SNJY,300189,神农基因
1115369,12470,WEL,300190,维 尔 利
1115370,12126,QNHX,300191,潜能恒信
1115371,12572,SHGF,002565,顺灏股份
1115372,9900,YSYY,002566,益盛药业
1115373,12583,KSWD,300192,科斯伍德
1115374,12288,JSKJ,300193,佳士科技
1115375,12198,FAYY,300194,福安药业
1115376,12121,TRS,002567,唐 人 神
1115377,12753,BRGF,002568,百润股份
1115378,12408,CRGF,300195,长荣股份
1115379,12418,CHGF,300196,长海股份
1115380,12290,THST,300197,铁汉生态
1115381,12406,NCGF,300198,纳川股份
1115382,12618,HYYY,300199,翰宇药业
1115383,12619,GMXC,300200,高盟新材
1115384,12785,HLZ,300201,海 伦 哲
1115385,11304,BSGF,002569,步森股份
1115386,12243,BYM,002570,贝 因 美
1115387,12626,STDL,002571,*ST 德力
1115388,12837,SFY,002572,索 菲 亚
1115389,12894,JLGF,300202,聚龙股份
1115390,12357,JGKJ,300203,聚光科技
1115391,12613,STS,300204,舒 泰 神
1115392,12404,TYXX,300205,天喻信息
1115393,12895,LBYQ,300206,理邦仪器
1115394,12972,XWD,300207,欣 旺 达
1115395,12881,QXHJ,002573,清新环境
1115396,12882,MPZB,002574,明牌珠宝
1115397,12892,QXWJ,002575,群兴玩具
1115398,12911,HSZS,300208,恒顺众?
1115399,12912,TZXX,300209,天泽信息
1115400,12910,SYGF,300210,森远股份
1115401,12883,TDDL,002576,通达动力
1115402,12573,LBKJ,002577,雷柏科技
1115403,12969,MFLY,002578,闽发铝业
1115404,12582,YTKJ,300211,亿通科技
1115405,12981,YHL,300212,易 华 录
1115406,6338,JXFH,300213,佳讯飞鸿
1115407,12813,ZJDZ,002579,中京电子
1115408,12949,SYGF,002580,圣阳股份
1115409,12614,RKHX,300214,日科化学
1115410,13207,DKY,300215,电 科 院
1115411,12287,QSYJ,300216,千山药机
1115412,13226,DFDR,300217,东方电热
1115413,13051,ALGF,300218,安利股份
1115414,13209,HLZH,300219,鸿利智汇
1115415,12835,WMYY,002581,未名医药
1115416,13193,HXN,002582,好 想 你
1115417,12405,JYJG,300220,金运激光
1115418,13230,YXKJ,300221,银禧科技
1115419,13225,KDZN,300222,科大智能
1115420,13259,HND,002583,海 能 达
1115421,12129,BJJZ,300223,北京君正
1115422,13285,ZHCC,300224,正海磁材
1115423,13206,JLT,300225,金 力 泰
1115424,13192,XLKX,002584,西陇科学
1115425,13296,SXXC,002585,双星新材
1115426,13298,WHGF,002586,围海股份
1115427,13292,SHGL,300226,上海钢联
1115428,13284,GYD,300227,光 韵 达
1115429,13286,FRTZ,300228,富瑞特装
1115430,13363,ATDZ,002587,奥拓电子
1115431,13374,SDL,002588,史 丹 利
1115432,13360,RKYY,002589,瑞康医药
1115433,13262,WAKJ,002590,万安科技
1115434,12371,TES,300229,拓 尔 思
1115435,13336,YLGF,300230,永利股份
1115436,13282,YXKJ,300231,银信科技
1115437,9646,HDGX,002591,恒大高新
1115438,13337,ZMKJ,300232,洲明科技
1115439,13367,JCYY,300233,金城医药
1115440,13338,KEXC,300234,开尔新材
1115441,13542,RSJT,002593,日上集团
1115442,11305,HMKJ,002595,豪迈科技
1115443,10691,FZKJ,300235,方直科技
1115444,13369,SHXY,300236,上海新阳
1115445,13370,MCKJ,300237,美晨科技
1115446,13527,BYD,002594,比 亚 迪
1115447,10699,GHSW,300238,冠昊生物
1115448,13541,DBSW,300239,东宝生物
1115449,13293,FLD,300240,飞 力 达
1115450,13582,HNRZ,002596,海南瑞泽
1115451,13649,JHSY,002597,金禾实业
1115452,13652,SDZG,002598,山东章鼓
1115453,13661,RFGD,300241,瑞丰光电
1115454,13659,MJLH,300242,明家联合
1115455,13732,RFGC,300243,瑞丰高材
1115456,7387,STGF,002599,盛通股份
1115457,13604,JFCC,002600,江粉磁材
1115458,13606,LMBL,002601,龙蟒佰利
1115459,13742,DAZD,300244,迪安诊断
1115460,11004,TJKJ,300245,天玑科技
1115461,13833,BLT,300246,宝 莱 特
1115462,13726,SJHT,002602,世纪华通
1115463,13827,YLYY,002603,以岭药业
1115464,13536,LLSW,002604,龙力生物
1115465,9701,LJJK,300247,乐金健康
1115466,13829,XKP,300248,新 开 普
1115467,13291,YMK,300249,依 米 康
1115468,13832,CLXX,300250,初灵信息
1115469,13884,GXCM,300251,光线传媒
1115470,13497,YJPK,002605,姚记扑克
1115471,12020,DLDC,002606,大连电瓷
1115472,13693,YXQC,002607,亚夏汽车
1115473,13937,JSGX,002608,江苏国信
1115474,12131,JSKJ,002609,捷顺科技
1115475,14094,AKKJ,002610,爱康科技
1115476,13990,JXN,300252,金 信 诺
1115477,10878,WNJK,300253,卫宁健康
1115478,13943,QYYY,300254,仟源医药
1115479,13954,CSYY,300255,常山药业
1115480,13944,XXKJ,300256,星星科技
1115481,13208,KSGF,300257,开山股份
1115482,13660,JDKJ,300258,精锻科技
1115483,14147,DFJG,002611,东方精工
1115484,14174,LZGF,002612,朗姿股份
1115485,10601,BBGF,002613,北玻股份
1115486,14048,XTKJ,300259,新天科技
1115487,13989,XLYC,300260,新莱应材
